['박*빈 '],['2020.08.26'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 235']",['235'],['발 편하구 요새 이것만 신고 다니네요~~ 역시 비싼 값 하네용~~ 남자친구것도 하나 주문했어용~~'],"['평소 사이즈', '230']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['소심한소비 '],['2020.06.27'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 250']",['250'],['큰아이 실내화로 구입했는데\n작은 아이도 신고 싶어해서\n재구매 했습니다\n해외직구이다 보니\n수신까지 시간이 오래 걸렸지만\n만족합니다\n\n디자인도 예쁘고 가볍고\n신고 앉았을 때 발이 느끼는\n편안함은 정말 말로 표현 못하겠네요\n\n아이가 키가 크지 않은데\n키높이 기능까지 누릴 수 있네요^^\n\n너무너무 만족합니다'],"['평소 사이즈', '245']","['발볼', '발볼이 넓어요']","['사이즈', '정사이즈예요']"
['박*영 '],['2020.06.11'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 265']",['265'],['일단 박스상태 개같구요 환불한상품 재판매한거 확실하구요\n살다살다 구겨진상품 받아보니 좆같네요 마감상태좆같구요\n지워지지도않는 스프레이형 오염있구요 개짭맞구요\n환불할라다 다시 재판매해서 다른사람 피해보느니 걍태워버릴랍니다 사지마세요\n판매자도 양심있음 팔지마시구요.'],"['평소 사이즈', '265']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['이*목 '],['2020.06.25'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 260']",['260'],['구매전 사이즈때문에 고민 평소 260 싣는데\n후기글들보면 사이즈업해라글들이많아 선택장애왓는데\n사이즈만작지않으면되겟지하구 260 265 둘중 엄청고민함 결국 일단 정사이즈로 구매\n받고보니 제선택이맞은듯 딱맞네요 뒤에여유쪼끔잇구\n슬리퍼라 크게 신는분들이람 업해서 시켜두되겟지만 전딱맞게신어서 정사이즈시키심 자기발에맞을것같네요\n발폭두꺼움 찍찍이로 조절되구 참고되엇음 하네요 제품은\n좋네요 다소 배송시간이 2주이상걸렷지만 배송만빠름 정말최고인데 그래서 별하나뺌ㅋㅋ정사이즈추천요'],"['평소 사이즈', '260']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['최*욱 '],['2020.08.27'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 265']",['265'],['전 슬리퍼를 크게 신는 편아라 한 치수 올려서 주문했습니다\n정사이즈로 신어도 충분할 것 같네요!\n\n배송은 오래 걸리긴 했지만 그만큼 인기 많다는 거겠죠?\n편하게 잘 신고 있습니다!\n\n그리고 물에 젖으면 바로바로 말려주세요 냄새 장난 아닙니다 ㅠ'],"['평소 사이즈', None]","['발볼', None]","['사이즈', None]"
['윤*희 '],['2020.07.09'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 295']",['295'],['아들이 발등이높아서 신발 살때 맞는거 찾기가 어려워요.매장에서 285를 사서줬더니 찍찍이래도 맨끝부분에 찍찍이를 붙쳐야 겨우 들어가서 반품(매장에 295가 없더라구요) 하고 여기 쿠팡에서 구매한건데 신발도 깨끗하고 포장도 깔끔하게 되어 와서 좋으네요. 길이도 약간 여유있고 사이즈 잘맞아요. 발등이 높은경우이면 이슬리퍼 강추합니다~ 많이 파세요~~'],"['평소 사이즈', '280']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['최* '],['2020.08.05'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 255']",['255'],['편하고 좋네요\n신랑이랑 큰애는 먼저신고있었고 작은애랑 저는 추가로 구입했답니다. 네가족 다른 색상 신발 모두신고있답니다'],"['평소 사이즈', None]","['발볼', '발볼이 넓어요']","['사이즈', '정사이즈예요']"
['애플수박 '],['2020.08.21'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 275']",['275'],"['아들꺼가 쿠션감이 좋아서 아빠꺼도 하나 샀는데,\n약간 차이가 있네요\n아들 슬리퍼가 쿠션감이 더 있는 느낌이네요.\n같은 제품인데 사이즈에 따라 차이가 있는것 같네요\n그래도 잘 신고 다니고 있습니다.']","['평소 사이즈', None]","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['ROZI '],['2020.08.23'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 265']",['265'],['상품은 가게에서 산거와 다름 없이 깔끔하고 좋았습니다.\n친구에게도 괜찮다고 한번 필요하면 사보라고 권유도 해보았습니다.'],"['평소 사이즈', '265']","['발볼', '발볼이 넓어요']","['사이즈', '정사이즈예요']"
['너와함께 '],['2020.08.23'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 275']",['275'],['진품이 맞는지 의심이 되네요...똑같은 신발 신은 분이랑 비교해보니 밑바닥줄무늬가 진하고 옅고 차이가 나더라구요 그분은 년초에 구입하셨다고...'],"['평소 사이즈', None]","['발볼', None]","['사이즈', None]"
